goal_index,point_index,time_from_start,positions,velocities,accelerations,success
1,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.92848045161572, 0.0, 0.0, 0.0, 0.0, 0.0]",True
1,1,0.41713949,"[-0.08078028480434117, 0.01477652292269696, 0.06849669686707202, -0.002167023560580694, 0.08705090889266899, 0.000560137836029753]","[-0.3275597406003193, 0.05991801127288392, 0.2777504475516661, -0.008787164802623298, 0.3529867863794942, 0.002271329009482148]","[-0.9044843587213564, 0.16545044242216803, 0.7669469238738724, -0.024263827743035708, 0.9746955670756141, 0.006271776741615455]",True
1,2,0.592190715,"[-0.16156056960868234, 0.02955304584539392, 0.13699339373414404, -0.004334047121161388, 0.17410181778533798, 0.001120275672059506]","[-0.5276812150543269, 0.09652471007019545, 0.4474411091464987, -0.014155652313782411, 0.5686428252552842, 0.0036589895000988795]","[-0.8514471676685416, 0.15574875256992757, 0.7219746585863108, -0.022841044413206543, 0.9175413282976191, 0.005904012038911373]",True
1,3,0.728208302,"[-0.2423408544130235, 0.04432956876809088, 0.20549009060121606, -0.0065010706817420815, 0.26115272667800693, 0.001680413508089259]","[-0.646745722030889, 0.11830427448842132, 0.548400464040512, -0.01734969393510223, 0.6969497948861993, 0.0044845936118860265]","[-0.8406052640615652, 0.1537655256283264, 0.7127813933406142, -0.022550197944730115, 0.9058578146110858, 0.005828833294003918]",True
1,4,0.843675422,"[-0.3231211392173647, 0.05910609169078784, 0.2739867874682881, -0.008668094242322776, 0.34820363557067596, 0.002240551344119012]","[-0.7500387408423312, 0.1371988805661139, 0.6359865701696142, -0.020120647342236918, 0.8082610039464622, 0.005200836791446006]","[-0.9324851423099981, 0.17057241273402313, 0.7906898605341892, -0.02501498079849067, 1.004869930374798, 0.0064659367196902295]",True
1,5,0.944589987,"[-0.40390142402170587, 0.0738826146134848, 0.34248348433536013, -0.01083511780290347, 0.43525454446334494, 0.0028006891801487656]","[-0.837978600820664, 0.15328505010532759, 0.7105541449938233, -0.02247973469812816, 0.9030272548646132, 0.005810619772384141]","[-0.7763900454762228, 0.14201912424201682, 0.6583308504594322, -0.020827551237562456, 0.836657846374587, 0.005383559132546094]",True
1,6,1.036860193,"[-0.484681708826047, 0.08865913753618176, 0.4109801812024321, -0.013002141363484163, 0.5223054533560139, 0.003360827016178518]","[-0.9070516431214632, 0.16592005622557499, 0.7691238226277158, -0.024332698084298048, 0.9774621386587251, 0.006289578524956924]","[-0.7082589116918828, 0.12955641428064116, 0.6005598531258727, -0.018999855624983793, 0.7632379873807863, 0.004911131659225941]",True
1,7,1.12292228,"[-0.5654619936303882, 0.10343566045887873, 0.4794768780695042, -0.015169164924064858, 0.609356362248683, 0.003920964852208272]","[-0.9675002700867252, 0.17697746366306083, 0.8203805282372476, -0.02595430166190063, 1.042603131060341, 0.006708734797818586]","[-0.6909866818142, 0.1263969366762759, 0.5859140679938164, -0.01853650829736062, 0.7446249890099634, 0.004791364447578249]",True
1,8,1.203996659,"[-0.6462422784347294, 0.11821218338157569, 0.5479735749365762, -0.017336188484645552, 0.6964072711413519, 0.004481102688238024]","[-1.021785044652986, 0.18690736447579825, 0.8664106673605337, -0.027410552846837972, 1.101101797863415, 0.007085150357983511]","[-0.6424849283992239, 0.11752487992550677, 0.5447875739583906, -0.017235393271159867, 0.6923582542752842, 0.0044550488816295225]",True
1,9,1.281136149,"[-0.7270225632390706, 0.13298870630427265, 0.6164702718036482, -0.019503212045226245, 0.7834581800340209, 0.005041240524267777]","[-1.0471975511965976, 0.19155588095942278, 0.8879589047994879, -0.028092272409312925, 1.1284869673663507, 0.007261362987809081]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True
1,10,1.358275639,"[-0.8078028480434117, 0.1477652292269696, 0.6849669686707203, -0.02167023560580694, 0.8705090889266899, 0.005601378360297531]","[-1.021785044652986, 0.18690736447579825, 0.8664106673605341, -0.027410552846837993, 1.1011017978634157, 0.007085150357983516]","[0.6424849283992239, -0.11752487992550677, -0.5447875739583822, 0.017235393271159298, -0.6923582542752673, -0.004455048881629391]",True
1,11,1.439350018,"[-0.8885831328477529, 0.16254175214966657, 0.7534636655377923, -0.023837259166387636, 0.957559997819359, 0.006161516196327284]","[-0.9675002700867252, 0.17697746366306094, 0.8203805282372478, -0.025954301661900644, 1.0426031310603405, 0.006708734797818586]","[0.6909866818142004, -0.126396936676273, -0.5859140679938262, 0.018536508297361462, -0.7446249890100091, -0.004791364447578501]",True
1,12,1.525412105,"[-0.969363417652094, 0.17731827507236353, 0.8219603624048643, -0.026004282726968326, 1.0446109067120277, 0.006721654032357036]","[-0.9070516431214634, 0.16592005622557496, 0.7691238226277155, -0.024332698084298013, 0.9774621386587246, 0.0062895785249569205]","[0.7082589116918802, -0.12955641428064707, -0.6005598531258788, 0.018999855624983984, -0.7632379873807451, -0.004911131659225785]",True
1,13,1.617682311,"[-1.0501437024564353, 0.1920947979950605, 0.8904570592719363, -0.02817130628754902, 1.131661815604697, 0.00728179186838679]","[-0.837978600820664, 0.15328505010532753, 0.7105541449938233, -0.022479734698128168, 0.9030272548646143, 0.005810619772384147]","[0.776390045476226, -0.14201912424201218, -0.6583308504594159, 0.020827551237561408, -0.8366578463745891, -0.005383559132546057]",True
1,14,1.7185968759999999,"[-1.1309239872607764, 0.20687132091775745, 0.9589537561390084, -0.030338329848129716, 1.218712724497366, 0.007841929704416543]","[-0.7589864227641133, 0.13883561194608435, 0.6435736523115476, -0.020360679146829472, 0.8179032557119792, 0.005262880831044146]","[0.7774267773423806, -0.14220876571483734, -0.6592099351091332, 0.020855362755997208, -0.8377750552510744, -0.005390747925523041]",True
1,15,1.831184063,"[-1.2117042720651177, 0.2216478438404544, 1.0274504530060804, -0.03250535340871041, 1.3057636333900349, 0.008402067540446296]","[-0.6618781295428726, 0.12107233066720319, 0.5612318118468227, -0.017755638079594946, 0.713256865737002, 0.004589523100785609]","[0.9048997807737724, -0.16552643241768195, -0.7672991761401862, 0.024274971914876098, -0.9751432365450048, -0.0062746573158798755]",True
1,16,1.9644265239999998,"[-1.2924845568694587, 0.23642436676315137, 1.0959471498731523, -0.034672376969291104, 1.3928145422827038, 0.008962205376476047]","[-0.5344879822629568, 0.0977698202097722, 0.45321282771945914, -0.014338251631774612, 0.5759779723591512, 0.0037061882425127642]","[0.9327092799697956, -0.1706134125308915, -0.7908799154390053, 0.025020993547650625, -1.0051114668716081, -0.0064674909105923595]",True
1,17,2.139007091,"[-1.3732648416737998, 0.2512008896858483, 1.1644438467402243, -0.036839400529871794, 1.4798654511753728, 0.009522343212505802]","[-0.32818178221874783, 0.06003179661364921, 0.27827790046024903, -0.008803851780715305, 0.35365711439807496, 0.0022756423025945874]","[0.9094087632814849, -0.16635122628347276, -0.77112251507441, 0.024395930529371196, -0.980002231860876, -0.0063059230103582635]",True
1,18,2.556146581,"[-1.454045126478141, 0.2659774126085453, 1.2329405436072964, -0.03900642409045249, 1.5669163600680418, 0.010082481048535555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.928480451615721, -0.1698398651330136, -0.7872941299398145, 0.024907550388851098, -1.0005543728645108, -0.006438167830475483]",True
2,0,0.0,"[-1.454045126478141, 0.2659774126085453, 1.2329405436072964, -0.03900642409045249, 1.5669163600680418, 0.010082481048535555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.4698894445599611, 0.0, 0.0, 0.0, 0.0, 0.0]",True
2,1,0.432012971,"[-1.4978940833174814, 0.23553689625422364, 1.1648557241884854, 0.05313878747588707, 1.5567736267241075, 0.014993117997088634]","[-0.17370748699782512, -0.12058999757278985, -0.2697177706478888, 0.365032928804164, -0.04018040216827232, 0.019453470854898833]","[-0.47324752874066234, -0.3285345918502628, -0.7348173105408626, 0.99449329704309, -0.10946722192912339, 0.052998907339121416]",True
2,2,0.610321789,"[-1.5417430401568217, 0.20509637989990195, 1.0967709047696745, 0.14528399904222664, 1.546630893380173, 0.019903754945641713]","[-0.2809195786026238, -0.1950180264956778, -0.43618731570846203, 0.5903308965435149, -0.06497970720937454, 0.031460134098796846]","[-0.4415417142046507, -0.3065240028766853, -0.6855872988641859, 0.9278659654281306, -0.10213332745428132, 0.04944817875702498]",True
2,3,0.749117977,"[-1.5855919969961623, 0.17465586354558027, 1.0286860853508635, 0.23742921060856623, 1.5364881600362386, 0.024814391894194793]","[-0.3430801888661867, -0.2381707309090461, -0.5327048666336582, 0.7209566399292713, -0.07935812211008818, 0.03842148988710599]","[-0.4222949338562954, -0.29316263754003236, -0.6557025841784518, 0.887420336272885, -0.09768134102465363, 0.04729273521784318]",True
2,4,0.8675528,"[-1.6294409538355026, 0.1442153471912586, 0.9606012659320526, 0.32957442217490573, 1.5263454266923042, 0.02972502884274787]","[-0.39308821714643283, -0.272886954792997, -0.610352952708461, 0.8260446666018847, -0.09092551464261597, 0.04402188016085926]","[-0.4083188639138341, -0.28346026794406654, -0.6340017669457152, 0.8580506998084928, -0.0944485263617816, 0.04572755760811111]",True
2,5,0.972974302,"[-1.673289910674843, 0.11377483083693693, 0.8925164465132416, 0.42171963374124544, 1.5162026933483697, 0.03463566579130095]","[-0.43542310558112896, -0.3022763851613509, -0.6760868593268698, 0.9150081798217156, -0.10071802774872232, 0.04876295685561374]","[-0.38617411305649557, -0.2680870937747182, -0.5996173374889034, 0.8115152084326921, -0.08932620831580092, 0.04324757086235986]",True
2,6,1.069365379,"[-1.7171388675141832, 0.08333431448261527, 0.8244316270944305, 0.5138648453075849, 1.5060599600044353, 0.03954630273985403]","[-0.4762158379605691, -0.3305952307312355, -0.739426241101221, 1.0007309706567344, -0.11015382364259146, 0.05333132776552769]","[-0.4619211905080837, -0.3206717004828206, -0.717230764615313, 0.9706918680481688, -0.10684731858963578, 0.05173047271659359]",True
2,7,1.157499579,"[-1.7609878243535235, 0.05289379812829362, 0.7563468076756197, 0.6060100568739244, 1.495917226660501, 0.0444569396884071]","[-0.51282877447365, -0.35601240762759045, -0.7962756019655806, 1.0776702418330988, -0.11862278798651513, 0.05743160407300989]","[-0.3576501168390967, -0.24828536447638244, -0.5553277745996051, 0.7515742233871167, -0.08272830249572573, 0.04005317355300397]",True
