index,time_abs,time_delta,j1,j2,j3,j4,j5,j6
1,0.467,0.345,-3.0587244207051025,0.019669860669976093,1.8166957651083777,-0.02125811028929093,1.139996707525136,-3.2311280442171024
2,0.725,0.257,-2.9509503393944527,0.021519909677090086,1.7675821999572574,-0.0360759556387228,1.0928204578437295,-3.2023999247292756
3,0.982,0.239,-2.8431937113763226,0.023352505391684132,1.7184860880986568,-0.05089380098815465,1.0456616614548426,-3.1736718052414488
4,1.239,0.241,-2.735419630065673,0.025202554398798118,1.6693725229475362,-0.06572909963010645,0.9984854117734361,-3.1449436857536224
5,1.496,0.24,-2.627663002047543,0.027052603405912107,1.620258957796416,-0.0805469449795383,0.9513091620920293,-3.1162155662657955
6,1.754,0.24,-2.519906374029413,0.028902652413026097,1.5711628459378155,-0.09536479032897018,0.9041329124106224,-3.087487446777969
7,2.011,0.241,-2.412132292718763,0.030752701420140086,1.5220492807866948,-0.11018263567840202,0.8569741160217358,-3.0587593272901423
8,2.268,0.24,-2.3043756647006335,0.03260275042725408,1.4729531689280946,-0.12501793432035382,0.8097978663403291,-3.0300312078023155
9,2.525,0.241,-2.1966190366825034,0.03445279943436806,1.423839603776974,-0.1398357796697857,0.7626216166589223,-3.0013030883144887
10,2.783,0.241,-2.0888449553718536,0.03628539514896211,1.3747434919183734,-0.15465362501921756,0.7154628202700355,-2.9725749688266623
11,3.04,0.241,-1.9810883273537234,0.0381354441560761,1.325629926767253,-0.1694714703686494,0.6682865705886287,-2.9438468493388354
12,3.297,0.241,-1.8733142460430736,0.03998549316319009,1.2765163616161326,-0.1843067690106012,0.6211103209072221,-2.915118729851009
13,3.554,0.24,-1.765557618024944,0.04183554217030407,1.2274202497575322,-0.19912461436003306,0.5739340712258153,-2.8863906103631822
14,3.812,0.239,-1.6578009900068138,0.04368559117741807,1.1783066846064119,-0.2139424597094649,0.5267752748369285,-2.857662490875356
15,4.069,0.242,-1.5500269086961642,0.04553564018453206,1.1292105727478112,-0.22877775835141673,0.47959902515552183,-2.8289518246800487
16,4.326,0.241,-1.442270280678034,0.04738568919164605,1.0800970075966907,-0.2435956037008486,0.43242277547411506,-2.8002237051922223
17,4.584,0.241,-1.3345136526599044,0.04921828490624009,1.0310008957380905,-0.2584134490502804,0.38526397908522836,-2.7714955857043955
18,4.841,0.24,-1.2267395713492546,0.05106833391335409,0.98188733058697,-0.2732312943997123,0.33808772940382154,-2.742767466216569
19,5.098,0.24,-1.1189829433311245,0.05291838292046807,0.9327737654358496,-0.2880665930416641,0.2909114797224148,-2.714039346728742
20,5.355,0.25,-1.0112088620204747,0.05476843192758206,0.883677653577249,-0.3028844383910959,0.2437352300410081,-2.6853112272409154
21,5.613,0.239,-0.9034522340023448,0.056618480934696055,0.8345640884261286,-0.3177022837405278,0.19657643365212132,-2.656583107753089
22,5.87,0.241,-0.7956956059842148,0.05846852994181004,0.785467976567528,-0.33252012908995965,0.1494001839707146,-2.627854988265262
23,6.127,0.241,-0.6879215246735649,0.06031857894892403,0.7363544114164076,-0.34735542773191147,0.10222393428930789,-2.599126868777436
24,6.384,0.241,-0.580164896655435,0.06215117466351808,0.6872582995578072,-0.36217327308134334,0.05506513790042109,-2.570398749289609
25,6.642,0.24,-0.4724082686373052,0.06400122367063206,0.6381447344066867,-0.3769911184307752,0.00788888821901437,-2.5416706298017826
26,6.899,0.24,-0.3646341873266553,0.06585127267774606,0.5890486225480862,-0.391826417072727,-0.03928736146239235,-2.5129425103139553
27,7.156,0.239,-0.2568775593085254,0.06770132168486004,0.5399350573969658,-0.40664426242215884,-0.08646361114379908,-2.484214390826129
28,7.413,0.24,-0.14910347799787557,0.06955137069197403,0.49082149224584537,-0.4214621077715907,-0.13362240753268587,-2.455486271338302
29,7.671,0.24,-0.04134684997974567,0.07140141969908803,0.4417253803872449,-0.4362799531210226,-0.1807986572140926,-2.4267581518504757
30,8.068,0.381,0.06640977803838424,0.07325146870620201,0.39261181523612443,-0.4511152517629744,-0.22797490689549932,-2.398030032362649
31,8.428,0.36,0.06220353454107791,0.06869615935849681,0.3666238626739289,-0.420432363512914,-0.2125636496003894,-2.2385418453154067
32,8.648,0.22,0.05797983775125163,0.06415830330331156,0.3406184568192133,-0.3897669285553737,-0.19715239230527945,-2.0790362049756452
33,8.851,0.149,0.05375614096142535,0.05960299395560636,0.3146130509644978,-0.3591014935978333,-0.18174113501016953,-1.9195305646358836
34,9.054,0.133,0.04953244417159908,0.05506513790042109,0.2886076451097824,-0.328418605347773,-0.16632987771505958,-1.7600423775886418
35,9.257,0.132,0.04532620067429274,0.0505098285527159,0.26261969254758677,-0.2977531703902326,-0.1509186204199497,-1.60053673724888
36,9.46,0.131,0.041102503884466464,0.04597197249753064,0.23661428669287127,-0.26708773543269226,-0.13550736312483974,-1.4410485502016381
37,9.663,0.133,0.036878807094640184,0.04143411644234538,0.21060888083815574,-0.23642230047515186,-0.12009610582972982,-1.2815429098618765
38,9.867,0.132,0.032655110304813904,0.036878807094640184,0.18460347498344024,-0.20573941222509157,-0.10468484853461989,-1.1220547228146345
39,10.07,0.142,0.02844886680750757,0.032340951039454925,0.15861552242124466,-0.1750739772675512,-0.08927359123950997,-0.9625490824748727
40,10.273,0.133,0.02422517001768129,0.027785641691749727,0.13261011656652916,-0.14440854231001082,-0.07386233394440003,-0.803043442135111
41,10.476,0.131,0.020001473227855015,0.02324778563656447,0.10660471071181364,-0.11372565405995051,-0.0584510766492901,-0.643555255087869
42,10.679,0.132,0.01577777643802874,0.01869247628885927,0.08061675814961808,-0.08306021910241015,-0.04303981935418017,-0.48404961474810737
43,10.882,0.132,0.011571532940722405,0.014154620233674014,0.05461135229490257,-0.05239478414486977,-0.027628562059070237,-0.32456142770086555
44,11.115,0.162,0.007347836150896127,0.009616764178488757,0.02860594644018706,-0.02171189589480946,-0.012217304763960306,-0.16505578736110377
45,11.678,0.521,0.00312413936106985,0.005061454830783556,0.0026005405854715507,0.00895353906273091,0.003193952531149623,-0.005550147021341968
1,0.528,0.504,0.016720254234105676,-0.009791297103688189,0.0030543261909900766,0.07681194038027044,0.007819075048934596,-0.14521139376592823
2,0.747,0.219,0.030333822399661446,-0.024609142453120045,0.003543018381548489,0.1446354351127701,0.012461650859239512,-0.2848551872179946
3,0.925,0.122,0.043947390565217216,-0.039426987802551904,0.004014257279586958,0.21247638313778966,0.017086773377024488,-0.42451643396258076
4,1.103,0.082,0.05757841202329293,-0.054244833151983765,0.0045029494701453706,0.28031733116280927,0.02171189589480946,-0.564160227414647
5,1.28,0.081,0.0711919801888487,-0.06906267850141562,0.004991641660703782,0.3481582791878289,0.026354471705114377,-0.7038040208667135
6,1.458,0.081,0.08480554835440447,-0.08389797714336743,0.005480333851262195,0.4159992272128485,0.030979594222899347,-0.8434652676112996
7,1.636,0.081,0.09841911651996024,-0.09871582249279927,0.0059515727493006645,0.4838227219453481,0.03562217003320427,-0.983109061063366
