index,time_abs,time_delta,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,t,j1_vel,j1_acc,j1_jerk,j2_vel,j2_acc,j2_jerk,j3_vel,j3_acc,j3_jerk,j4_vel,j4_acc,j4_jerk,j5_vel,j5_acc,j5_jerk,j6_vel,j6_acc,j6_jerk
0,0.0,-0.0,-3.166481048723232,0.017819811662862103,1.8657918769669781,-0.0064228116473391324,1.1871729572065428,-3.2598561637049293,0.0,-1.5220092408803259,214.06797200518034,-6059.787868846694,1.3278875614879213,-2.9282482777664933,-1093.011328433293,-1.1555722311027865,2.2119954348335584,871.2041673231906,0.21173923819488857,-18.000929204402627,422.6202287818072,-0.07515182426234358,-10.708011406480642,359.029424019101,0.1409815369905075,-13.54032186758903,411.70059564072966
1,0.425,0.402,-3.8133349760973707,0.5821720252952286,1.3746736787482938,0.08356636458548851,1.1552334318950468,-3.1999390104839636,0.425,89.45687886132131,-2361.341872254665,7055.947825275303,0.08338204343716171,-467.45806286191606,4057.8588556299546,-0.2154741712985242,372.4737665471896,-10992.525314057058,-7.4386556736762275,161.61266802786542,1227.6130773664427,-4.626056672016617,141.87949380163727,-4678.633381131072,-5.61365525673483,161.43243127972107,13362.861796310433
1,0.439,0.416,-2.518981349525856,0.5827654372409067,1.372090591455342,-0.02410299697004169,1.088369868251144,-3.2811840871642994,0.439,55.21037422746202,-2256.509934004227,16647.682889035415,-6.675261057002595,-408.27257875115225,6610.296345870046,5.169914577157481,213.10713926015413,-11770.52068316567,-5.093244756444877,179.1704948717547,410.2766776677654,-2.56937399168595,74.05537491330942,-4620.6992358166535,-3.2729079020731504,354.4852672406115,10446.005308520445
1,0.467,0.345,-3.0587244207051025,0.019669860669976093,1.8166957651083777,-0.02125811028929093,1.139996707525136,-3.2311280442171024,0.467,2.6495583065439967,-1277.4323243270035,31670.237210885956,-13.935585270340388,-89.74962214112321,9005.094365073373,1.5293592811864232,-138.15008897762112,-7934.067605972897,0.5754331438571278,143.40242842029,-1893.757238179222,-4.575453220290622,-42.78688534197846,-2540.55615501743,17.140865127491523,459.738369312768,-911.4373349004977
1,0.528,0.504,0.016720254234105676,-0.009791297103688189,0.0030543261909900766,0.07681194038027044,0.007819075048934596,-0.14521139376592823,0.528,4.427305189374728,216.32827936209202,15894.284416164945,3.1213622257227085,144.50864709053116,616.2394127713725,-7.978249225647566,-9.381388271488326,647.305332910497,1.4756110545731869,-54.022125182005766,-1820.760316660256,-3.3503246551973236,19.171058756766584,-351.0613917538844,9.393543128719099,-216.5323002833903,-3156.819763942598
2,0.602,0.176,-3.7841879775890654,0.5447521661324701,1.3654932468828036,0.1741489527639942,1.125301035223344,-3.1482074514548515,0.602,37.23927730173271,621.0541365416861,-8128.0124546966545,1.6858018822820462,-99.31509560331229,1488.3223287635908,4.477203605489386,-92.87400000071568,-3930.5156659391473,-8.696363442536084,-61.6696053871716,3035.599848038209,-2.0136282097968703,-129.50268577578564,-559.3631401679122,-14.666731852312168,261.7057515197756,5814.466718362484
2,0.622,0.183,-2.560467825845761,0.5470734540376225,1.3797176802865576,-0.0538957673015849,0.9925163857316154,-3.3014648130724735,0.622,50.62062548119514,384.9950723398531,17188.54875393193,-0.7324764162856229,-43.69330972764964,-3004.190799813142,1.2078807397928233,-186.63154104413493,-10640.571532694532,-9.520082526286926,16.009657385133465,1201.6627500493857,-5.40133679695675,-132.85350795386069,-6904.439152806492,-6.260483834809655,374.4912499013174,21753.462650988957
2,0.725,0.257,-2.9509503393944527,0.021519909677090086,1.7675821999572574,-0.0360759556387228,1.0928204578437295,-3.2023999247292756,0.725,-60.41105303491659,17533.957810811127,-700606.4306933803,35.72878271049561,-3421.9267877565417,92419.28087700473,-30.303253229177415,-4440.217196105397,343728.40537957987,22.468324343107476,-1283.0453204745404,-29219.36169096433,0.2931095926180092,-4417.598308081133,229375.68611364957,8.006285370969664,11162.868785345821,-683546.3917122323
3,0.737,0.037,-3.75504097908076,0.5073497602622317,1.3563128150173134,0.26471408764997995,1.0953860918441611,-3.09647589242574,0.737,176.0170103956627,7914.42263378247,-1308184.2180310083,-10.613294292612295,-2137.833828505564,212390.91318717328,-89.36582924603951,222.8115412857187,491387.2268901273,4.843817561936382,-1656.8954622354868,18228.80229557932,-58.9714227658278,-1286.2510297879385,380383.07872631133,157.3734033258593,1858.239651301068,-1061142.8013766338
2,0.747,0.219,0.030333822399661446,-0.024609142453120045,0.003543018381548489,0.1446354351127701,0.012461650859239512,-0.2848551872179946,0.747,156.92860352155026,-9388.721934960578,-1251515.2384765442,-17.62491656305606,864.2683582238817,229212.44615971475,-44.26527319964709,5993.362966638673,370954.84711308975,-13.293358425456532,-1063.0825994825418,65534.16644456739,-41.39676639635266,3512.892025824168,332364.76910919737,87.71396501992777,-11134.4970308506,-872997.9660874287
3,0.762,0.048,-2.6019368488731467,0.5113640175418186,1.3873273158252526,-0.0836885376331281,0.8966629032120869,-3.321728085688128,0.762,-152.19955357271874,-17388.468098159166,-427769.92518213444,30.56129697883801,2705.0051690719392,100551.7258209115,79.00958694492043,6920.429026335402,41079.93943535983,-12.350309934417828,58.3697009946112,64178.484950343794,50.793707740734675,5178.498992291841,86425.44317556417,-173.0959374486241,-14638.263224287952,-175035.37591937603
4,0.852,-0.024,-3.725911433864975,0.46994735439199314,1.3471323831518234,0.3552792225359658,1.0654536951724585,-3.0447443333966278,0.852,21.679199980677765,1107.3409122450555,24957.05439125897,0.010865985974932713,-213.9327542838301,-4699.193875841236,0.9849083317982021,-573.5872784701066,-11783.321197317406,-9.527143985206065,118.53240253373514,2203.714056556714,-5.6089960505457945,-335.32259993888874,-7691.699529360837,-6.045279882176246,1225.032910249662,26336.692910520444
4,0.884,-0.012,-2.6434233251930515,0.47565458104601466,1.394936951363948,-0.1134813079646713,0.8008094206925582,-3.341991358303782,0.884,47.7314789050907,-148.3131366118833,-23943.621219455024,-5.406883545935533,-48.76193041954171,1780.4185558589495,-14.03217256492026,-137.3298759724016,14384.566061442367,-4.742375710852933,206.51886729122958,-3035.936034067836,-13.024129387861443,28.08453139543896,8610.346139368807,25.9754225866236,362.0261422587879,-25358.78930506868
